Type Analyse;ID Discussion;Score Similitude;Segments Evalués (Total);ID du Profil (Top 3);Durée Profil (sec);Score Min (Intra);Score Max (Intra)
INTER (Cible);audio-1773403298.28728;0.4262;15;audio-1773403298.28728_operateur_14, audio-1773403298.28728_operateur_9, audio-1773403298.28728_operateur_2;23.98;N/A;N/A
INTER (Cible);audio-1775026708.40952;0.4262;9;audio-1775026708.40952_operateur_4, audio-1775026708.40952_operateur_7, audio-1775026708.40952_operateur_2;15.91;N/A;N/A
INTER (Cible);audio-1775031996.31819;0.4247;5;audio-1775031996.31819_operateur_3, audio-1775031996.31819_operateur_1, audio-1775031996.31819_operateur_4;11.46;N/A;N/A
INTER (Cible);audio-1773400919.27578;0.422;5;audio-1773400919.27578_operateur_5, audio-1773400919.27578_operateur_1, audio-1773400919.27578_operateur_2;7.54;N/A;N/A
INTER (Cible);audio-1773400315.27371;0.4218;5;audio-1773400315.27371_operateur_1, audio-1773400315.27371_operateur_4, audio-1773400315.27371_operateur_3;16.69;N/A;N/A
INTER (Cible);audio-1773405730.29546;0.4112;4;audio-1773405730.29546_operateur_2, audio-1773405730.29546_operateur_4, audio-1773405730.29546_operateur_3;8.49;N/A;N/A
INTER (Cible);audio-1773398901.26999;0.4043;30;audio-1773398901.26999_operateur_19, audio-1773398901.26999_operateur_3, audio-1773398901.26999_operateur_27;23.1;N/A;N/A
INTER (Cible);audio-1775032917.42139;0.3848;21;audio-1775032917.42139_operateur_17, audio-1775032917.42139_operateur_16, audio-1775032917.42139_operateur_4;18.09;N/A;N/A
INTER (Cible);audio-1773406234.29636;0.3846;10;audio-1773406234.29636_operateur_2, audio-1773406234.29636_operateur_7, audio-1773406234.29636_operateur_9;15.66;N/A;N/A
INTER (Cible);audio-1773404182.28921;0.3796;10;audio-1773404182.28921_operateur_7, audio-1773404182.28921_operateur_4, audio-1773404182.28921_operateur_9;12.98;N/A;N/A
INTER (Cible);audio-1773403721.28842;0.3767;20;audio-1773403721.28842_operateur_20, audio-1773403721.28842_operateur_6, audio-1773403721.28842_operateur_10;13.25;N/A;N/A
INTER (Cible);audio-1773407172.29929;0.3767;3;audio-1773407172.29929_operateur_1, audio-1773407172.29929_operateur_2, audio-1773407172.29929_operateur_3;10.43;N/A;N/A
INTER (Cible);audio-1773403074.28717;0.3576;6;audio-1773403074.28717_operateur_4, audio-1773403074.28717_operateur_2, audio-1773403074.28717_operateur_3;10.12;N/A;N/A
INTER (Cible);audio-1773405457.29373;0.3336;7;audio-1773405457.29373_operateur_5, audio-1773405457.29373_operateur_1, audio-1773405457.29373_operateur_7;9.87;N/A;N/A
INTER (Cible);audio-1773402913.28607;0.3294;19;audio-1773402913.28607_operateur_2, audio-1773402913.28607_operateur_6, audio-1773402913.28607_operateur_1;23.42;N/A;N/A
INTER (Cible);audio-1773401109.27876;0.3238;8;audio-1773401109.27876_operateur_5, audio-1773401109.27876_operateur_8, audio-1773401109.27876_operateur_1;20.89;N/A;N/A
INTER (Cible);audio-1773400104.27333;0.3233;9;audio-1773400104.27333_operateur_9, audio-1773400104.27333_operateur_5, audio-1773400104.27333_operateur_3;19.25;N/A;N/A
INTER (Cible);audio-1773404163.28913;0.3107;7;audio-1773404163.28913_operateur_1, audio-1773404163.28913_operateur_7, audio-1773404163.28913_operateur_4;9.06;N/A;N/A
INTER (Cible);audio-1775033540.32214;0.3012;14;audio-1775033540.32214_operateur_5, audio-1775033540.32214_operateur_7, audio-1775033540.32214_operateur_6;12.77;N/A;N/A
INTER (Cible);audio-1775026276.40906;0.294;3;audio-1775026276.40906_operateur_1, audio-1775026276.40906_operateur_2, audio-1775026276.40906_operateur_3;8.56;N/A;N/A
INTER (Cible);audio-1773404504.29223;0.2917;7;audio-1773404504.29223_operateur_5, audio-1773404504.29223_operateur_7, audio-1773404504.29223_operateur_3;12.02;N/A;N/A
INTER (Cible);audio-1773397929.26766;0.2895;2;audio-1773397929.26766_operateur_2, audio-1773397929.26766_operateur_1;9.82;N/A;N/A
INTER (Cible);audio-1773407004.29901;0.2891;10;audio-1773407004.29901_operateur_6, audio-1773407004.29901_operateur_1, audio-1773407004.29901_operateur_8;18.16;N/A;N/A
INTER (Cible);audio-1773404602.29250;0.2872;27;audio-1773404602.29250_operateur_25, audio-1773404602.29250_operateur_12, audio-1773404602.29250_operateur_26;14.17;N/A;N/A
INTER (Cible);audio-1773403821.28852;0.2863;16;audio-1773403821.28852_operateur_5, audio-1773403821.28852_operateur_11, audio-1773403821.28852_operateur_1;20.77;N/A;N/A
INTER (Cible);audio-1775028942.41407;0.2839;6;audio-1775028942.41407_operateur_1, audio-1775028942.41407_operateur_6, audio-1775028942.41407_operateur_2;12.02;N/A;N/A
INTER (Cible);audio-1775032737.32140;0.2807;8;audio-1775032737.32140_operateur_6, audio-1775032737.32140_operateur_1, audio-1775032737.32140_operateur_5;16.96;N/A;N/A
INTER (Cible);audio-1773406044.29570;0.28;19;audio-1773406044.29570_operateur_19, audio-1773406044.29570_operateur_14, audio-1773406044.29570_operateur_8;11.1;N/A;N/A
INTER (Cible);audio-1775031458.41751;0.2786;6;audio-1775031458.41751_operateur_1, audio-1775031458.41751_operateur_3, audio-1775031458.41751_operateur_4;9.21;N/A;N/A
INTER (Cible);audio-1775031713.41765;0.2655;14;audio-1775031713.41765_operateur_2, audio-1775031713.41765_operateur_14, audio-1775031713.41765_operateur_5;12.39;N/A;N/A
INTER (Cible);audio-1775025893.40608;0.2649;4;audio-1775025893.40608_operateur_4, audio-1775025893.40608_operateur_3, audio-1775025893.40608_operateur_2;18.82;N/A;N/A
INTER (Cible);audio-1773402323.28388;0.2629;4;audio-1773402323.28388_operateur_1, audio-1773402323.28388_operateur_4, audio-1773402323.28388_operateur_3;7.66;N/A;N/A
INTER (Cible);audio-1773398359.26843;0.2574;3;audio-1773398359.26843_operateur_3, audio-1773398359.26843_operateur_1, audio-1773398359.26843_operateur_2;6.48;N/A;N/A
INTER (Cible);audio-1775031826.41778;0.2573;31;audio-1775031826.41778_operateur_25, audio-1775031826.41778_operateur_12, audio-1775031826.41778_operateur_26;26.83;N/A;N/A
INTER (Cible);audio-1775030856.31673;0.2551;3;audio-1775030856.31673_operateur_1, audio-1775030856.31673_operateur_3, audio-1775030856.31673_operateur_2;9.87;N/A;N/A
INTER (Cible);audio-1775026649.40948;0.2452;6;audio-1775026649.40948_operateur_4, audio-1775026649.40948_operateur_6, audio-1775026649.40948_operateur_2;12.34;N/A;N/A
INTER (Cible);audio-1773403591.28782;0.2408;11;audio-1773403591.28782_operateur_10, audio-1773403591.28782_operateur_3, audio-1773403591.28782_operateur_11;15.27;N/A;N/A
INTER (Cible);audio-1773398880.26995;0.2276;13;audio-1773398880.26995_operateur_7, audio-1773398880.26995_operateur_1, audio-1773398880.26995_operateur_11;10.41;N/A;N/A
INTER (Cible);audio-1773398136.26807;0.2271;5;audio-1773398136.26807_operateur_2, audio-1773398136.26807_operateur_1, audio-1773398136.26807_operateur_4;12.34;N/A;N/A
INTER (Cible);audio-1775032532.42069;0.2226;15;audio-1775032532.42069_operateur_15, audio-1775032532.42069_operateur_6, audio-1775032532.42069_operateur_13;11.93;N/A;N/A
INTER (Cible);audio-1773407328.29939;0.2196;12;audio-1773407328.29939_operateur_6, audio-1773407328.29939_operateur_12, audio-1773407328.29939_operateur_3;9.87;N/A;N/A
INTER (Cible);audio-1773398331.26839;0.2173;14;audio-1773398331.26839_operateur_10, audio-1773398331.26839_operateur_3, audio-1773398331.26839_operateur_6;20.92;N/A;N/A
INTER (Cible);audio-1775033905.42249;0.2156;4;audio-1775033905.42249_operateur_4, audio-1775033905.42249_operateur_1, audio-1775033905.42249_operateur_2;9.03;N/A;N/A
INTER (Cible);audio-1773399390.27077;0.2018;9;audio-1773399390.27077_operateur_7, audio-1773399390.27077_operateur_8, audio-1773399390.27077_operateur_3;19.59;N/A;N/A
INTER (Cible);audio-1773402731.28558;0.2016;6;audio-1773402731.28558_operateur_6, audio-1773402731.28558_operateur_5, audio-1773402731.28558_operateur_1;10.23;N/A;N/A
INTER (Cible);audio-1775032192.32020;0.1987;4;audio-1775032192.32020_operateur_1, audio-1775032192.32020_operateur_2, audio-1775032192.32020_operateur_4;8.56;N/A;N/A
INTER (Cible);audio-1773400084.20925;0.1983;9;audio-1773400084.20925_operateur_9, audio-1773400084.20925_operateur_7, audio-1773400084.20925_operateur_2;15.74;N/A;N/A
INTER (Cible);audio-1773403414.28767;0.1945;24;audio-1773403414.28767_operateur_14, audio-1773403414.28767_operateur_22, audio-1773403414.28767_operateur_2;18.21;N/A;N/A
INTER (Cible);audio-1773405031.29314;0.1866;9;audio-1773405031.29314_operateur_3, audio-1773405031.29314_operateur_9, audio-1773405031.29314_operateur_2;12.07;N/A;N/A
INTER (Cible);audio-1773406501.29799;0.1848;8;audio-1773406501.29799_operateur_8, audio-1773406501.29799_operateur_7, audio-1773406501.29799_operateur_5;13.2;N/A;N/A
INTER (Cible);audio-1773404349.29066;0.1782;11;audio-1773404349.29066_operateur_8, audio-1773404349.29066_operateur_9, audio-1773404349.29066_operateur_7;14.12;N/A;N/A
INTER (Cible);audio-1775032606.32130;0.1452;2;audio-1775032606.32130_operateur_1, audio-1775032606.32130_operateur_2;14.34;N/A;N/A
INTER (Cible);audio-1773405378.29369;0.1445;13;audio-1773405378.29369_operateur_12, audio-1773405378.29369_operateur_9, audio-1773405378.29369_operateur_3;10.83;N/A;N/A
INTER (Cible);audio-1775033408.42185;0.1132;7;audio-1775033408.42185_operateur_3, audio-1775033408.42185_operateur_4, audio-1775033408.42185_operateur_7;11.05;N/A;N/A
INTER (Cible);audio-1773407028.22763;0.0799;14;audio-1773407028.22763_operateur_10, audio-1773407028.22763_operateur_6, audio-1773407028.22763_operateur_12;13.43;N/A;N/A
