Date Exécution;Locuteur Cible;Type Analyse;ID Discussion;Nb Segments Total;ID du Profil (Top 3);Similitude Moyenne;Score Min;Score Max;Ecart-Type
20260722_1016;operateur;INTER (Cible);audio-1773400658.27514;10;audio-1773400658.27514_operateur_21, audio-1773400658.27514_operateur_20, audio-1773400658.27514_operateur_15;0.2189;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773403298.28728;15;audio-1773403298.28728_operateur_11, audio-1773403298.28728_operateur_6, audio-1773403298.28728_operateur_3;0.2145;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775026399.40938;6;audio-1775026399.40938_operateur_11, audio-1775026399.40938_operateur_8, audio-1775026399.40938_operateur_7;0.2117;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773401440.28104;17;audio-1773401440.28104_operateur_48, audio-1773401440.28104_operateur_64, audio-1773401440.28104_operateur_43;0.2098;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773405730.29546;4;audio-1773405730.29546_operateur_18, audio-1773405730.29546_operateur_17, audio-1773405730.29546_operateur_6;0.2093;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773401927.28348;11;audio-1773401927.28348_operateur_39, audio-1773401927.28348_operateur_34, audio-1773401927.28348_operateur_16;0.2071;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775028942.41407;6;audio-1775028942.41407_operateur_9, audio-1775028942.41407_operateur_8, audio-1775028942.41407_operateur_15;0.1868;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773405457.29373;7;audio-1773405457.29373_operateur_7, audio-1773405457.29373_operateur_14, audio-1773405457.29373_operateur_13;0.184;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773398880.26995;13;audio-1773398880.26995_operateur_22, audio-1773398880.26995_operateur_40, audio-1773398880.26995_operateur_9;0.1734;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773398245.26823;4;audio-1773398245.26823_operateur_8, audio-1773398245.26823_operateur_6, audio-1773398245.26823_operateur_7;0.1722;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773402260.28378;21;audio-1773402260.28378_operateur_27, audio-1773402260.28378_operateur_28, audio-1773402260.28378_operateur_19;0.1688;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773402913.28607;19;audio-1773402913.28607_operateur_5, audio-1773402913.28607_operateur_34, audio-1773402913.28607_operateur_26;0.1635;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773404504.29223;7;audio-1773404504.29223_operateur_10, audio-1773404504.29223_operateur_15, audio-1773404504.29223_operateur_20;0.1617;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773399390.27077;9;audio-1773399390.27077_operateur_8, audio-1773399390.27077_operateur_19, audio-1773399390.27077_operateur_7;0.1526;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773407328.29939;12;audio-1773407328.29939_operateur_34, audio-1773407328.29939_operateur_38, audio-1773407328.29939_operateur_46;0.1407;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775026276.40906;3;audio-1775026276.40906_operateur_2, audio-1775026276.40906_operateur_4, audio-1775026276.40906_operateur_5;0.1338;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773400104.27333;9;audio-1773400104.27333_operateur_25, audio-1773400104.27333_operateur_16, audio-1773400104.27333_operateur_9;0.1079;N/A;N/A;N/A
